aspect_key,aspect_label,term,count_high,count_low,total_high,total_low,low_review_share,high_review_share,lift_low_vs_high,log_lift_low_vs_high,afinn_term_score,term_sentiment,term_type
value_rating,Value,biscuits,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,blessed,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,boutique,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,caused,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,changed,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,chasing,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,cheated,0,2,254,85,0.029,0.002,14.826,2.696,-3,negative,word
value_rating,Value,chilled,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,climate,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,coke,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,como,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,comped,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,con,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,conditions,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,consecutive,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,considerably,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,control,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,cup,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,curtains,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,dead,0,2,254,85,0.029,0.002,14.826,2.696,-3,negative,word
value_rating,Value,department,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,depending,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,dirt,0,2,254,85,0.029,0.002,14.826,2.696,-2,negative,word
value_rating,Value,dismal,0,2,254,85,0.029,0.002,14.826,2.696,-2,negative,word
value_rating,Value,dogs,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,drank,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,drop,0,2,254,85,0.029,0.002,14.826,2.696,-1,negative,word
value_rating,Value,electricity,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,entering,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,equipment,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,feedback,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,figure,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,filthy,0,2,254,85,0.029,0.002,14.826,2.696,-2,negative,word
value_rating,Value,fire,0,2,254,85,0.029,0.002,14.826,2.696,-2,negative,word
value_rating,Value,floorboards,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,flying,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,fridge,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,gloomy,0,2,254,85,0.029,0.002,14.826,2.696,-2,negative,word
value_rating,Value,granted,0,2,254,85,0.029,0.002,14.826,2.696,1,positive,word
value_rating,Value,handle,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,handles,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,hardware,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,heat,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,holes,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,inclined,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,invest,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,january,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,jumped,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,killed,0,2,254,85,0.029,0.002,14.826,2.696,-3,negative,word
value_rating,Value,knobs,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,lacks,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,leak,0,2,254,85,0.029,0.002,14.826,2.696,-1,negative,word
value_rating,Value,legs,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,lizards,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,loudly,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,lower,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,marriott,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,mentioning,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,mess,0,2,254,85,0.029,0.002,14.826,2.696,-2,negative,word
value_rating,Value,miserable,0,2,254,85,0.029,0.002,14.826,2.696,-3,negative,word
value_rating,Value,mobile,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,mold,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,nestled,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,noises,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,noodle,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,observed,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,officer,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,operation,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,opposite,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,overly,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,periods,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,portions,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,posh,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,practically,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,proceeded,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,putting,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,quicker,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,raining,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,realized,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,refused,0,2,254,85,0.029,0.002,14.826,2.696,-2,negative,word
value_rating,Value,rely,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,remain,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,reserved,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,responsibility,0,2,254,85,0.029,0.002,14.826,2.696,1,positive,word
value_rating,Value,reviewer,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,ridiculous,0,2,254,85,0.029,0.002,14.826,2.696,-3,negative,word
value_rating,Value,run,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,series,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,setup,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,shame,0,2,254,85,0.029,0.002,14.826,2.696,-2,negative,word
value_rating,Value,shortcomings,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,shorts,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,shouldn,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,stained,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,stains,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,stops,0,2,254,85,0.029,0.002,14.826,2.696,-1,negative,word
value_rating,Value,stuck,0,2,254,85,0.029,0.002,14.826,2.696,-2,negative,word
value_rating,Value,suddenly,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,suggest,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,summary,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,suspect,0,2,254,85,0.029,0.002,14.826,2.696,-1,negative,word
value_rating,Value,sweaty,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,switches,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,tan,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,teeth,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,thailand,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,thin,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,thousand,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,training,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,ultimately,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,unable,0,2,254,85,0.029,0.002,14.826,2.696,-2,negative,word
value_rating,Value,uneven,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,ungasan,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,units,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,unsightly,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,upfront,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,upset,0,2,254,85,0.029,0.002,14.826,2.696,-2,negative,word
value_rating,Value,vehicles,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,visa,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,weird,0,2,254,85,0.029,0.002,14.826,2.696,-2,negative,word
value_rating,Value,wireless,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,woman,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,wont,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,wore,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,yoghurt,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,yuck,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,bill,1,6,254,85,0.076,0.006,12.849,2.553,0,neutral,word
value_rating,Value,disappointing,1,6,254,85,0.076,0.006,12.849,2.553,-2,negative,word
value_rating,Value,worst,1,6,254,85,0.076,0.006,12.849,2.553,-3,negative,word
value_rating,Value,pretty,3,14,254,85,0.169,0.014,12.284,2.508,1,positive,word
value_rating,Value,average,2,9,254,85,0.11,0.01,11.267,2.422,0,neutral,word
value_rating,Value,mins,2,9,254,85,0.11,0.01,11.267,2.422,0,neutral,word
value_rating,Value,understand,2,9,254,85,0.11,0.01,11.267,2.422,0,neutral,word
value_rating,Value,aware,1,5,254,85,0.064,0.006,10.872,2.386,0,neutral,word
value_rating,Value,biggest,1,5,254,85,0.064,0.006,10.872,2.386,0,neutral,word
value_rating,Value,broken,1,5,254,85,0.064,0.006,10.872,2.386,-1,negative,word
value_rating,Value,cleanliness,1,5,254,85,0.064,0.006,10.872,2.386,0,neutral,word
value_rating,Value,decoration,1,5,254,85,0.064,0.006,10.872,2.386,0,neutral,word
value_rating,Value,dirty,1,5,254,85,0.064,0.006,10.872,2.386,-2,negative,word
value_rating,Value,heard,1,5,254,85,0.064,0.006,10.872,2.386,0,neutral,word
value_rating,Value,leaking,1,5,254,85,0.064,0.006,10.872,2.386,0,neutral,word
value_rating,Value,tropical,1,5,254,85,0.064,0.006,10.872,2.386,0,neutral,word
value_rating,Value,woke,1,5,254,85,0.064,0.006,10.872,2.386,0,neutral,word
value_rating,Value,paying,2,8,254,85,0.099,0.01,10.081,2.311,0,neutral,word
value_rating,Value,management,5,16,254,85,0.192,0.022,8.895,2.186,0,neutral,word
value_rating,Value,desk,2,7,254,85,0.087,0.01,8.895,2.186,0,neutral,word
value_rating,Value,aman,1,4,254,85,0.052,0.006,8.895,2.186,0,neutral,word
value_rating,Value,annoying,1,4,254,85,0.052,0.006,8.895,2.186,-2,negative,word
value_rating,Value,calling,1,4,254,85,0.052,0.006,8.895,2.186,0,neutral,word
value_rating,Value,conditioning,1,4,254,85,0.052,0.006,8.895,2.186,0,neutral,word
value_rating,Value,empty,1,4,254,85,0.052,0.006,8.895,2.186,-1,negative,word
value_rating,Value,english,1,4,254,85,0.052,0.006,8.895,2.186,0,neutral,word
value_rating,Value,fried,1,4,254,85,0.052,0.006,8.895,2.186,0,neutral,word
value_rating,Value,laid,1,4,254,85,0.052,0.006,8.895,2.186,0,neutral,word
value_rating,Value,range,1,4,254,85,0.052,0.006,8.895,2.186,0,neutral,word
value_rating,Value,renovation,1,4,254,85,0.052,0.006,8.895,2.186,0,neutral,word
value_rating,Value,repellant,1,4,254,85,0.052,0.006,8.895,2.186,0,neutral,word
value_rating,Value,unacceptable,1,4,254,85,0.052,0.006,8.895,2.186,-2,negative,word
value_rating,Value,uncomfortable,1,4,254,85,0.052,0.006,8.895,2.186,-2,negative,word
value_rating,Value,website,1,4,254,85,0.052,0.006,8.895,2.186,0,neutral,word
value_rating,Value,alila,3,9,254,85,0.11,0.014,8.048,2.085,0,neutral,word
value_rating,Value,bad,6,17,254,85,0.203,0.025,7.983,2.077,-3,negative,word
value_rating,Value,typical,2,6,254,85,0.076,0.01,7.709,2.042,0,neutral,word
