review_id,review_date,rating,low_aspects,score_afinn_per_median_review,score_afinn_raw,title,review_text
65244939,May 2010,4,Value=3,2.628158844765343,13,"Nice, but not exceptionally nice","We stayed there for a 4-day trip. Everything was amazing -- from the moment you stepped out from the plane to the moment they sent you back to the airport. Once we stepped out from the plane, we were picked up by 2 random men who escorted us to the immigration and did the visa for us. I have no idea where these people from since our holiday package includes 'pick-up from airport' but we didn't expect they would literally pick us up from the plane and did all the visa/luggage for us. Soon after, we were greeted by another woman outside the airport and a luxurious 7-seater car was waiting for us. There're two bottles of chilled acqua panna plus cold towels -- I felt like the Queen of England. We arrived the resort after a short ride. We waited a while in the reception area -- although with the breathtaking view, I guess the check-in process could go quicker. We checked in villa no.59 and were assigned with a butler. The villa itself -- nice but smaller than I expected. For a start, there's no living room so we spent most of our evenings lying in the bed because there's no sofa indoor. There's a pavilion with a dining table and sofa but our food got eaten by monkeys (they did warn us, but I underestimated the monkeys' intelligence, they actually ripped the cling film and ate the fruits!) and there're too many bugs around so not possible to chill out in the evening. The pool -- nice but again small. I ended up going to the main pool for a proper swim -- but if you are not a keen swimmer and simply looking for a pool to stretch your limbs, I guess it's alright. The bathroom -- something I can't complain. It's HUGE and so lavish. The bath tub was placed in the middle of the bathroom and I felt true luxury -- no better place for a self-indulgence retreat. There's a B&O TV in the room and we went down to their DVD library to pick few movies. Sad thing is that their DVD library stocks what I suspect pirate copies of DVD and the machine could not play 90% of the DVDs. As such I guess I can't blame the resort's management because we went down to the mall in town and the DVD shop sold something like pirate copies there as well. So perhaps it's difficult to get genuine copies in Bali. FOOD -- I still miss every dish they serve and would definitely recommend everyone in Bali to go there and try. We had almost every meal with the Sangkar restaurant and a splurge meal with their Italian restaurant. So nice that you have nothing to complain about. Words can't describe how nice the foods were -- you just have to try out by yourself. We didn't try out the spa because it's pricey. We didn't go down to the beach either because we saw the beach being quite rocky so preferred staying next to the pool. I would recommend the resort to my friends but have already planned to stay with the new banyan tree (the ungasan resort) and the Alila Uluwatu for my next visit to Bali."
68547521,Jun 2010,4,Value=1; Service=3,14.843373493975905,33,We still can't stop talking about that view!,"The Bulgari was our last hotel stay of 3 on our 2 week honeymoon to Bali. It easily had the best view, dare i say best view of any hotel we had ever been (if you like staring at clear blue ocean from atop a very tall sheer cliff). The villa was very nice, very big bedroom with a super comfortable bed and views out to the Indian Ocean. How amazing it was to wake up every morning to that. Huge bathroom with lots of nice ammenities and very soothing rain shower. Excellent service from the hotel staff as well. All that said the cost of the food almost ruins it...it's prohibitively expensive! Even for a high end resort and for someone who has eaten in some of the finest restaurants. I agree with the reviewer who said $40 for nasi goreng was ridiculous (basically fried rice). Yes it has lobster but it's just as good with chicken and you can probably slash the price in half and at least give your guests another option. And yes, we realize wine is expensive in Bali but we saw no bottles under $300 USD on the menu and that was the cheap bad stuff. On our last day in Bali we ventured over to the Alila for lunch and it blew away the food at the Bulgari...and was MUCH cheaper too. Beautiful hotel, would stay again but try to eat somewhere else unless you have very very deep pockets."
106637002,May 2011,4,Value=3,16.317880794701985,44,Picturesque view for chillaxing holiday,"I stayed at the hotel with my family, we are lucky as we made the booking early before the trip and got one of the few family villas there. The villa has 2 spacious separate bedrooms with both indoor and outdoor bathrooms at each room (master bedroom has a decent size study area), 1 spacious living room, and a small edgeless pool. The room has a very nice scent and toiletries in the bathroom are all Bvlgari products. Customer and butler services are excellent. However as with many Asian countries, due to the humid weather you are likely to find insects/bugs in the villa then again they do provide guests with insects repellent. Have a walk around and explore the villa, it has a picturesque and breathtaking view. Go to the restaurants to have a peek at the views the villa has to offer. Take the inclined escalator (it's at about 45 angle and few hundred meters down the cliff - fun fun fun!!) to enjoy view of the Indian ocean and sea breeze. Restaurants and bars at the villa are indeed expensive but which other luxurious hotels/resorts are not. If you are after a luxurious holiday, it's worth a try staying in Bulgari Bali for 1-2 nights and just spend your time at the villa. If you'd like to stay longer in Bali, then you may want to stay at a different place for the rest of your stay. Overall, we had a great stay there and definitely love our chillaxing time there! Piece of advice: The villas are at the cliffs and there are wild monkeys from time to time. Usually the monkeys don't interrupt the guests, but to be safe close your bedroom and living room doors at all times especially when there are food in the room!"
115522635,Jul 2011,5,Value=3,8.252631578947367,14,Stylish resort in a beautiful setting,"We recently spent 4 nights at the Bulgari resort and didn't leave the resort once. We stayed in a cliff top villa which had beautiful views over the ocean. The room was very well appointed and we had our own plunge pool which was very private. It is quite a long way from the busy shopping and restaurant areas of Bali which can be good or bad depending on the type of holiday you are looking for. The beach restaurant had lovely fresh seafood in an idyllic location. The Italian restaurant in the resort also served beautiful food. There were some very nice touches in the service department. If you sat by the main pool, you were regularly served water and light snacks without feeling any pressure to buy food or drinks. The only slightly irritating aspect to the service was that when walking around the resort, every staff member you came across asked you what room you were staying in which gave you a feeling of surveillance. I'm not sure if this was done for security reasons or just to keep a track on when the guests were."
119299169,Oct 2011,5,Value=3,8,16,Honeymoon Happiness,"My husband (newleyweds) and I travel a great deal and we were floored by this hotel. I rarely take the time to write a review on a hotel unless it's a poor one. The grounds and setting of the Bulgari are so spectacular. Upon entering the property, you will be instantly wowed. Our favorite part about this hotel is that every room is exceptional. Each room is it's own villa (with a pool), with plenty of room and a great view. Our least favorite part of the hotel are the high prices ($30 USD for sunscreen and $250-500 meals!). Once you are in the doors, it seems as though the hotel feels they can rip you off from everything like food to incidentals. Needless to say, it was an amazing place to experience our honeymoon. Don't expect to be immersed into Bali culture. If you're looking for culture, spend a few days in the jungle areas of Bali near Ubud then come to Bulgari. This is definitely a lay around and do nothing kind of resort. P.S. Disregard any reviews you read about bugs and lizards. . . there are bugs and lizards EVERYWHERE in Bali. I hate lizards and it's just something you have to deal with - ha! But we didn't have any in our room, thank god!"
123201772,Jan 2012,4,Value=3,8.448742746615087,39,Stunning location & villas but dubious food...,"I have read reports in this website complaining about the villas and the food.. hence, I was hesitant about making a reservation especially during the wet monsoon period. Yet, I did so as Bulgari is flexible about the minimum number of nights stay (some top resorts in Thailand, like Six Senses & Trisara insist on a 10 day minimum in peak periods giving you a USD 50k bill!).. and I love Bali anyway... I felt that the criticisms in Tripadvisor about the villas was totally unjustified. Some complain about the design of the villa (one review below talks about the lack of a covered walkway to the villa door entrance, but that is absurd as there is such a device called an ""umbrella""..) and others complain about the wear & tear (another reviewer talks about the scratches on the bedroom floor but guess what? Wood scratches!). In reality, the villas are intelligently designed and well built. We stayed at a premier ocean view villa (number 45) and the sea-view was magnificent. Having stayed at all the Amans in Bali as well as the 4 Seasons Jimbaran, I would say that Bulgari's are the best beach villas. The layout maximizes the use of space both for the interior as well as the exterior, and the plunge pool is usable and attractive. All in all, the villas are superb (so please readers, don't whine about minor shortcomings!). Having said how much I loved the villas, I must also admit that the food was pretty disappointing. The breakfast buffet is rather pathetic with limited options. And why have 2 tiered pricing for those who want it with eggs (American) and those who don't (Continental)? I also ordered the breakfast nasi goreng and they used brown rice which is very bizarre (having lived in Asia, I know my fried rice and rice HAS to be fluffy and white). We also stayed for New Year and food there was similarly uninspiring, especially for the hefty price of the New Year's eve event! Thus, overall, I agree with the criticisms on this website about the quality of the food and the hotel really needs to look at a new F&B team - as the hotel is a long drive from anywhere else (apart from the Alila, which has better food) you don't have many other dining options. Also, the wine list is TOTALLY horrific in prices.. it is totally unjustified to charge guests hundreds of bucks (minimum) for a bottle of wine, and even more for champagne!! In spite of the criticisms of food (and cost of wine), this place is a ""must see/stay/do"" in Bali. The resort is well laid out, amenities are great (even the non-swimmable beach is pretty), service is excellent and the management team are very nice! Uluwatu is an authentic part of Bali that has not been destroyed by mass market tourists, and the Bulgari is in a stunning location. Combine it with a stay at the superb 4 Seasons in Ubud/Sayan and you have the perfect trip to the land of Eat, Pray, Love!"
125700848,Mar 2012,4,Value=3,7.384615384615385,6,Perfect Romantic hideaway,"If cost not a matter and you looking for a perfect hideaway, this is highly recommended place to stay no longer than 3 nights. The location is at the cliff of Uluwatu, south of Bali Island facing Indian Ocean. I and my wife stayed end of January 2012 when the weather was not very good. Windy, rain every day and very strong current. Beside the weather, this resorts was excellent. Services is at the top, food was OK, Villa quite well maintaned. Beware of monkeys, you should bever leave anything outside your room."
129403170,May 2012,5,Value=3; Location=3,21.53846153846154,5,resort,"excellent!! I've stayed here for 2 days. the food is okay, but too expensive than another luxury restaurants or resort. they should consider the price is"
130018947,May 2012,5,Value=3,4.54054054054054,9,"Breathtaking Views, Intimate Remote Resort","This resort is luxury at its finest. Carved into a former rainforest, the resort is nestled atop a mountain with sweeping and dramatic vistas overlooking the beach. One must take a vernacular down to the private beach and bar area to access the serene and private each and Indian Ocean. Very remote and secluded, this resort is designed for those who desire to get away from it all, relax and stay within the confines of the resort. A butler escorts you around the property via golf cart and they discourage walking about as it is very steep. The grounds are pristine which is the opposite of most of the rest of the island. Staff was continuously sweeping and cleaning falling flower blooms and keeping common areas tidy. It wa sso clean and immaculate it almost didnt feel real. The bar/ restaurant was exquisite and the staff, food, and beverage offerings were of the highest quality. We lingered for 6 hours one day. The native monkeys remain on the property and become quite aggressive around food. The staff was not completely successful in shoooing them away. One even quickly snatched a breadstick off my plate. I was surprised to see this but one must remember it was built on a former rainforest and monkey sanctuary. It is a gorgous place and very romantic."
131390469,Jun 2012,5,Location=2,21.731343283582092,13,Luxury cant get better,"Bulgari is a destination which is a perfect combination of luxury, functionality and comfort. I was of the opinion that Maldives is where the best resorts and views are but pleasantly surprised with Bulgari Bali. The rooms and food are excellent. The beach is not as beautiful as what you would see in maldives nevertheless the resort made up for it. Would love to be back soon."
