review_id,review_date,aspect,aspect_rating,overall_rating,score_afinn_per_median_review,score_afinn_raw,score_syuzhet_per_median_review,score_syuzhet_raw,sentiment_category,mismatch_types,title,review_excerpt,review_text
442517971,Dec 2016,Location,3,5,42,15,10.92,3.9,Positive,high overall rating with low aspect rating; low aspect rating with positive text sentiment,5,"good hotel but location too far from town.hotel area very dark at the nite time.but every staff n worker very very friendly and very kind,excellent good staffs. rooms clean and comform.pool villa facing to the ocean.","good hotel but location too far from town.hotel area very dark at the nite time.but every staff n worker very very friendly and very kind,excellent good staffs. rooms clean and comform.pool villa facing to the ocean."
442519358,Dec 2016,Location,3,5,42,21,16.1,8.05,Positive,high overall rating with low aspect rating; low aspect rating with positive text sentiment,Fantastic travel experience,"Love the days spent in Bulgari, enjoy every day and night there. It is a good choice, if You prefer a peaceful vacation far away from crowds You enjoy the your bed in a good resort You like to talk with locals You want something luxury but still natural ...... and most of all,...","Love the days spent in Bulgari, enjoy every day and night there. It is a good choice, if You prefer a peaceful vacation far away from crowds You enjoy the your bed in a good resort You like to talk with locals You want something luxury but still natural ...... and most of all, You lover Bulgari!"
981263932,Nov 2024,Location,4,1,-2.8000000000000003,-1,-1.68,-0.6,Negative,high aspect rating with negative text sentiment; low overall rating with high aspect rating,They say it luxury but..,"Surprisingly, the service here falls far short of what I would expect from a luxury hotel. Extending my stay in this room seems like a bad idea. I never expected our last week in Bali to be such a disappointment……………………………………………………………………….","Surprisingly, the service here falls far short of what I would expect from a luxury hotel. Extending my stay in this room seems like a bad idea. I never expected our last week in Bali to be such a disappointment………………………………………………………………………."
163750195,Jun 2013,Location,4,1,-2.357894736842105,-2,-2.063157894736842,-1.75,Negative,high aspect rating with negative text sentiment; low overall rating with high aspect rating,expensive hotel with unsatisfactory service,The service us terrible. the breakfst had insects lying around. the staff is not responsive to your request and comments i called the golf cart topick up to go to the restaurant but it took more than 15 mins to arrive need to keep on calling to get what you want. i asked them ...,The service us terrible. the breakfst had insects lying around. the staff is not responsive to your request and comments i called the golf cart topick up to go to the restaurant but it took more than 15 mins to arrive need to keep on calling to get what you want. i asked them why it took so long and the response was the restaurant was actually very close to my room and i could walk there.cant believe they are doing this under the name of the luxury brand name yet it is very expensive
442518240,Dec 2016,Location,4,1,-2.2550335570469797,-6,-1.6690601175572843e-16,-4.440892098500631e-16,Negative,high aspect rating with negative text sentiment; low overall rating with high aspect rating,Awful services,"People who want the comfortable services, choose other hotels please. These were the worst services that I had experienced. First, when we got into the room, we found that the slippers were used. My mother thought it was disgusting. I tried to contact the butler to change the ...","People who want the comfortable services, choose other hotels please. These were the worst services that I had experienced. First, when we got into the room, we found that the slippers were used. My mother thought it was disgusting. I tried to contact the butler to change the slippers, but I failed because the mobile phone in the room did not work. Finally I used another telephone to reach the butler but I got the new slippers two hours later. That was quiet slow. In the other hotels, I always get my requests solved in 10 minutes. Second, we were out of water in the evening, I asked for several more and the turn down service. They showed up until my parents had gone to bed. Third, we got up at 5AM in that morning because of the early flight, so we want to go to bed early. Unfortunately, there was a party near our villa. They played music loudly. This was unacceptable. People who go to a resort were seeking for relax, peaceful life. The hotel told me they knew the villa near us would hold a party but I got no notification at check-in. I did not know why the hotel arrange us a villa near a party. It really made me sick. By the way, the main door lock of our villa was broke. It's difficult to open from inside. I had to jump down from the wall to get out to complain the party noise. The hotel service was not worth the money I paid definitely. I will warn all of my friends to avoid this hotel in Bali. The only person who care about the guest is the front desk manager, Giovanna. She did a good job to make me calm down."
210054834,Jun 2014,Location,4,2,0,0,-0.14202898550724635,-0.35,Negative,low overall rating with high aspect rating,There are so many better options in Bali!,"My wife and I just back from a trip to Thailand and Bali. Of the 5 hotels we stayed(all in the same price range and service level of bulgari), Bulgari was our least favorite and most expensive. Our room would constantly leak every day. So, when we left in the morning there wou...","My wife and I just back from a trip to Thailand and Bali. Of the 5 hotels we stayed(all in the same price range and service level of bulgari), Bulgari was our least favorite and most expensive. Our room would constantly leak every day. So, when we left in the morning there would be a puddle of water in the bathroom. When we woke up in the morning, there would be a puddle of water in the bathroom. Every day for 3 days. In addition to this, there seemed to be more mosquitoes in our room than outside our room, I have to assume the water collection everyday had something to do with that. Lastly, the bed spread had blood on it. The blood was not ours and unfortunately we found it in the morning after sleeping with it the night before. In addition to the room, there seemed to be a lot of misunderstandings with the hotel staff. Granted, we speak English and this is probably a second language to most of the staff, but there just seemed to be a lot of things they didn't understand or miscues on their end that could have easily been avoided. Lastly, the overall price at the hotel was a lot more than all the other places we stayed at(2 4 seasons, peninsula and a COMO property). There are so many other options in Bali, that would just avoid Bulgary altogether. There beach isnt anything special, you cant even swim in their portion of the ocean. The only redeemable thing is their views, but you can get that same view at a few other hotels in the area."
181215325,Oct 2013,Location,4,1,1.6926952141057934,6,-0.14105793450881612,-0.5,Negative,low overall rating with high aspect rating,Beware of the monkeys here!,"We planned a trip here and thought it would be a dream vacation. It turned out to be a nightmare. This resort is beautiful, and is in an incredible spot. However, we did not realize it was inhabited by monkeys, as the resort is built on a cliffside of a former jungle that has ...","We planned a trip here and thought it would be a dream vacation. It turned out to be a nightmare. This resort is beautiful, and is in an incredible spot. However, we did not realize it was inhabited by monkeys, as the resort is built on a cliffside of a former jungle that has been home to the monkey population forever. We rented a cliffside villa, #11, for the stunning views. It was unfortunately the favorite hang out place for a large clan of monkeys (around 20). They invaded our space, opened the sliding doors, trashed the place and ate all the food (coffee packets included!) We had to keep calling for help to chase them off. It made me so uneasy, and we felt like prisoners in our own villa. If you don't lock the doors (all the rooms are separate spaces) they will come in. One brave rather large monkey followed us right into the bedroom to retrieve some fruit, and then proceeded to eat it on the doorstep! You cannot move freely about this type of villa without being invaded and feeling very vulnerable. The staff there are lovely people, but there is very little they can do other than assist you and say they are sorry about the monkeys. My complaint is that we had no warning from the hotel, except a little card on the bedside table alerting us to the ""local inhabitants"" and said don't leave your belongings outside, as the monkeys will take things! I had no idea it would be the most stressful trip of my life. These monkeys can be aggressive and have been known to bite people for no reason. There are other villas where this is not as much of a problem. But, if you are renting cliffside, you have been warned! These monkeys also enjoy invading the restaurant at breakfast time. It was comical to a degree. The staff are used to chasing them off. Glorious end to our stay was when the brakes failed on one of the buggies (golf cart) used to cart us up the steep roads to the entrance of the resort. We nearly missed being thrown over a wall because the driver hit a wall as we were hurling backwards. Nothing like a bit of whiplash and a few scrapes to end your 5 star vacation. I cannot recommend this place!"
121868836,Dec 2011,Location,4,3,4.67966573816156,15,2.3242339832869083,7.45,Positive,low overall rating with high aspect rating,Overated!,"For the price you pay to stay at the Bulgari I think there are much better options in Bali, such as Alila, St Regis and The Four Seasons. For this level of hotel I expected much more. Aesthetically the resort was absolutely gorgeous and the room was beautiful. The fit out was ...","For the price you pay to stay at the Bulgari I think there are much better options in Bali, such as Alila, St Regis and The Four Seasons. For this level of hotel I expected much more. Aesthetically the resort was absolutely gorgeous and the room was beautiful. The fit out was of a very high quality as you would expect. Here is where i was let down: Upon arrival we had to wait 30 minutes to get into our room, we arrived after the check in time and i would have expected the room to be ready right away. The pool in the villa was cloudy , has dead worms in it and was dirty, In the evening we arrived back from dinner to find our room swarming with flying bugs, we called and had a man arrive, followed by another 3 staff who sprayed the bugs and informed me we had a nest of them at out front door, it was at this point that i would have expected a room transfer. Instead the room was left for us with all of the dead bugs on the floor and not cleaned up. We continues to have them invade our bed throughout the night which made for an uncomfortable and unromantic night. The hotel cannot control the bugs but they could have moved us to another room with no nest or at least cleaned up the dead bugs. The next morning we went to breakfast that was underwhelming, the eggs were cold and the yoghurt was warm, the service however was excellent, Upon return from breakfast i would have expected the bugs to at least be cleaned from our room but they were not. What I did like was the beautiful resort itself, the service from the butler and the restaurant staff, the bed was absolutely amazing, the most comfortable bed, doona and pillows i have ever slept in, the view was lovely. All in all I would not go again instead i would go to the Four Seasons which is at a better location, has better service and food or the St Regis where I could also say the same."
129686261,May 2012,Location,4,3,4.9366391184573,16,3.8567493112947657,12.5,Positive,low overall rating with high aspect rating,5 stars hardware 2 stars services,"I stayed in Bulgari Resorts in September 2010, as I was impressed by this location and it's branding and expecting the level of services they could offer. However, I find out that the way they manage the hotel is more on corporate standard rather than personal touch. Butler se...","I stayed in Bulgari Resorts in September 2010, as I was impressed by this location and it's branding and expecting the level of services they could offer. However, I find out that the way they manage the hotel is more on corporate standard rather than personal touch. Butler services is not personal, I didn't get the name of the Butler who drove me to my villa, he just asked to me to press 1 for any assistance, then pressing 1 on the phone actually connected you to the call center and then they despatch a *butler* or staff to help you. They introduced all in-villa faciliates to me during the check-in, I was impressed by the free wi-fi access and trying to connect the Internet when I settled down. It didn't work, I then press 1 to call the Bulter and then they connected me to the helpdesk, they then send *IT Support* or Techican to my villa to fix it, eventually I found out the staff do not know anything about how it works, I eventually rolled up my sleeve and fixed it myself in front of the staff they despatched. I also found out the helpdesk is in Manila. They spent 40mins on it. What a globalized way of managing a 6 stars luxious resort. Location-wise, Uluwatu is kind of remote than any part of Bali, it offers you privacy but also costs some time to travel when dining out. I'd give credit to all the in-room hardware, B&O TV sets, washroom setup, your own private garden in the villa for your workout, cliff side endless swimming pool overlooking Indian Ocean. However, all these setting must first come with the highly professional services and personal touch. With the room rate I was paying, I could enjoy similar level of environment and excellent customer services by COMO Hotel group. I can still name a few bad experience of how poor the bulter services e.g. missing the promise of pickup....at the end I found out the ratio of Bulter to Villa to 1 to 10, given there are 50 villa or more. That was in 2010. I hope they improve."
68391280,Jun 2010,Location,4,3,5.209302325581396,24,1.6713178294573643,7.7,Positive,low overall rating with high aspect rating,"Overpriced, Nothing Special",My fiance and I stayed for 2 nights at the Bulgari before we moved to the Alila Villas for 3 nights (also see my review on Alilia) as I couldn't decide which one to go for so I decided to check out both. Turned out Alilia was far better than expected and Bulgari is a bit disap...,"My fiance and I stayed for 2 nights at the Bulgari before we moved to the Alila Villas for 3 nights (also see my review on Alilia) as I couldn't decide which one to go for so I decided to check out both. Turned out Alilia was far better than expected and Bulgari is a bit disappointed. It is the most expensive in terms of the room rate and the food is just ridicously overpriced. A bowl of noodle soup is 40 usd and it doesn't even taste that good. I have been to some of the best resorts in South Africa and I was expecting with a brand like Bulgari, I could expect it to be at the same level but it clearly was not. It is similar to say a Four Season in Koh Samui but much more expensive, even the food tasted much better at a Four Season. The service is good and not much surprises. We had breakfast in our villa the first morning and got surrounded by 20 monkeys trying to steal our food, we called for help to clear out the food however it took them another 15-20mins to come over, so my fiance and I had to grab whatever tea or fodd that we wanted to go back into the room watching the monkeys took over our table outside and eat all the leftovers. It was an interesting experince with nature i suppose but help could have come a bit quicker. The room itself is nicer and big however again not much different than any high end tropical resorts and the design doesn't have any ""Bulgari"" feel. It's not posh or modern, just typical Balinese dark wood style. The Alila looks more Bulgari than the Bulgari...! They do have B&O TV however a Philips alarm clock? and no Nepresso machine although it's an italian hotel?!! The villa pool is also tiny, although it was funny watching the monkeys dipping into it. The main pool is nice with gorgeous ocean view but again not so big. Food selection is so limited and overpriced, and worst doesn't taste so good. We even tried the Mozerralla pizza for a snack and it was bad, come on, this is again an Italian resort right? The food is 3 times as expensive as a normal resort just because the Nasi Goreng comes with Lobster tail not chicken...but I don't like lobster! Nicest thing is probably that they have a lift to take you down to the beach (so save wathcing the thousand steps) and they also have a bar and lounge chairs there so it was nice to check out the beach although there were more bugs and the waves were fierce. The Spa was good, similar to the one at Alila, they use Espa from the UK and Bulgari amenities which are better than the Alila brand, but again treatments are rather expensive. Given there are so many other new choices in Uluwatu and I love the Alila so much more, I definitely won't go back to Bulgari."
